cutoffs,nll_mode,nll_mode_fixed,n,min_n,num_cutoffs,k_varying,k_fixed,aic_varying,aic_fixed,bic_varying,bic_fixed
"(9, 13, 16)",80805.36392732622,80974.78591699718,"[16998, 5565, 3021, 2944]",2944,3,12,8,80817.36392732622,80982.78591699718,80809.52281040959,80977.55850571941
"(9, 10, 11)",80805.4438425091,80972.18117698524,"[16998, 1551, 1446, 8533]",1446,3,12,8,80817.4438425091,80980.18117698524,80809.60272559247,80974.95376570747
"(9, 14, 15)",80805.45522757752,80974.04719532018,"[16998, 6669, 1006, 3855]",1006,3,12,8,80817.45522757752,80982.04719532018,80809.61411066088,80976.81978404241
"(9, 15, 19)",80805.46020715637,80974.32274954162,"[16998, 7675, 3215, 640]",640,3,12,8,80817.46020715637,80982.32274954162,80809.61909023974,80977.09533826385
"(9, 11, 16)",80805.49569965302,80972.5538270303,"[16998, 2997, 5589, 2944]",2944,3,12,8,80817.49569965302,80980.5538270303,80809.65458273639,80975.32641575253
"(1, 10, 16)",80805.52011469865,80978.89116633797,"[1967, 16582, 7035, 2944]",1967,3,12,8,80817.52011469865,80986.89116633797,80809.67899778202,80981.6637550602
"(3, 14)",80808.54262509587,81000.48238756026,"[5996, 17671, 4861]",4861,2,9,6,80817.54262509587,81006.48238756026,80811.66178740839,81002.56182910193
"(10, 13)",80808.58816799457,80979.07035893142,"[18549, 4014, 5965]",4014,2,9,6,80817.58816799457,80985.07035893142,80811.7073303071,80981.1498004731
"(3, 15)",80808.6409631355,80999.9727713633,"[5996, 18677, 3855]",3855,2,9,6,80817.6409631355,81005.9727713633,80811.76012544803,81002.05221290498
"(9, 17)",80808.77758715441,80975.75346363055,"[16998, 9421, 2109]",2109,2,9,6,80817.77758715441,80981.75346363055,80811.89674946693,80977.83290517222
"(3, 14, 18)",80805.78028333088,80999.5628275669,"[5996, 17671, 3520, 1341]",1341,3,12,8,80817.78028333088,81007.5628275669,80809.93916641425,81002.33541628913
"(9, 16, 18)",80805.83426727807,80974.42485285838,"[16998, 8586, 1603, 1341]",1341,3,12,8,80817.83426727807,80982.42485285838,80809.99315036144,80977.19744158062
"(9, 13, 14)",80805.84313713716,80974.92622774608,"[16998, 5565, 1104, 4861]",1104,3,12,8,80817.84313713716,80982.92622774608,80810.00202022052,80977.69881646831
"(9, 15, 17)",80805.84707418896,80974.33895408364,"[16998, 7675, 1746, 2109]",1746,3,12,8,80817.84707418896,80982.33895408364,80810.00595727233,80977.11154280587
"(9, 11, 17)",80805.86692187357,80972.8661305876,"[16998, 2997, 6424, 2109]",2109,3,12,8,80817.86692187357,80980.8661305876,80810.02580495694,80975.63871930983
"(9, 18, 19)",80805.87186902281,80974.14708146983,"[16998, 10189, 701, 640]",640,3,12,8,80817.87186902281,80982.14708146983,80810.03075210618,80976.91967019206
"(9,)",80812.0098307553,80976.60666151241,"[16998, 11530]",11530,1,6,4,80818.0098307553,80980.60666151241,80814.08927229697,80977.99295587353
"(10, 15)",80809.0182482221,80978.14830340304,"[18549, 6124, 3855]",3855,2,9,6,80818.0182482221,80984.14830340304,80812.13741053462,80980.22774494471
"(1, 10, 17)",80806.02767744371,80979.31544937943,"[1967, 16582, 7870, 2109]",1967,3,12,8,80818.02767744371,80987.31544937943,80810.18656052707,80982.08803810166
